title,address,price,beds,baths,sqft,url,type
An impeccable triplex in Grosvenor Square inspired by Ian Fleming's famous spy.,"Grosvenor Square, Mayfair, W1K","£22,500,000",3 bed,3 bath,"5,750 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-impeccable-triplex-in-grosvenor-square-inspired-by-ian-flemings-famous-spy-lob537689,sale
A well presented family house tucked away just off Fellows Road.,"Fellows Road, Belsize Park, NW3","£1,500,000",3 bed,2 bath,"1,685 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-well-presented-family-house-tucked-away-just-off-fellows-road-in-nw3-lob551739,sale
A contemporary duplex with a private balcony.,"Cadogan Square, Chelsea, SW1X","£2,195,000",2 bed,2 bath,"1,042 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-contemporary-duplex-with-a-private-balcony-lob553743,sale
Three bedroom apartment with south-facing views over Green Park.,"Piccadilly, Mayfair, W1J","£2,300,000",3 bed,2 bath,"1,061 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/three-bedroom-apartment-with-south-facing-views-over-green-park-lob535873,sale
One bedroom apartment on gated street in Mayfair.,"Three Kings Yard, Mayfair, W1K","£3,100,000",1 bed,1 bath,"1,143 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/one-bedroom-apartment-on-gated-street-in-mayfair-lob301574,sale
This spectacular duplex apartment is a rare jewel.,"Upper Grosvenor Street, Mayfair, W1K","£10,250,000",3 bed,3 bath,"3,359 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/this-spectacular-duplex-apartment-is-a-rare-jewel-lob281468,sale
A well presented penthouse with lift and large balcony in Belsize Park.,"Haverstock Hill, Belsize Park, NW3","£6,000,000",3 bed,3 bath,"3,900 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-well-presented-penthouse-with-lift-and-large-balcony-in-belsize-park-lob480441,sale
A well presented townhouse in the heart of Pimlico.,"Warwick Way, Pimlico, SW1V","£2,735,000",4 bed,4 bath,"2,306 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-well-presented-townhouse-in-the-heart-of-pimlico-lob479768,sale
A two bedroom apartment with large private terrace.,"Three Kings Yard, Mayfair, W1K","£4,100,000",2 bed,2 bath,"1,048 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-two-bedroom-apartment-with-large-private-terrace-lob281634,sale
A fabulous Grade II listed townhouse with integrated mews.,"Charles Street, Mayfair, W1J","£14,950,000",6 bed,6 bath,"7,488 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-fabulous-grade-ii-listed-townhouse-with-integrated-mews-lob396394,sale
A large newly refurbished apartment opposite Regent’s Park.,"Prince Albert Road, St John's Wood, NW8","£5,950,000",4 bed,3 bath,"2,862 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-large-newly-refurbished-apartment-opposite-regents-park-lob383454,sale
Upper floor apartment benefiting from direct views over Cadogan Place.,"Sloane Street, Chelsea, SW1X","£1,300,000",2 bed,1 bath,657 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/upper-floor-apartment-benefiting-from-direct-views-over-cadogan-place-lob369692,sale
"An exceptional four-floor, detached, gated residence.","Winnington Road, Hampstead Garden Suburb, N2","£24,950,000",8 bed,9 bath,"16,749 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/exceptional-four-floor-detached-gated-residence-lob280967,sale
Exceptional three bedroom lateral apartment opposite Regent's Park.,"North Gate, St John's Wood, NW8","£3,200,000",3 bed,3 bath,"1,712 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/exceptional-three-bedroom-lateral-apartment-opposite-regents-park-lob280994,sale
An exquisitely designed five bedroom Grade II Listed house.,"Cadogan Gardens, Chelsea, SW3","£16,950,000",5 bed,5 bath,"6,504 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-exquisitely-designed-five-bedroom-grade-ii-listed-house-lob280580,sale
"An ideally located, contemporary apartment.","St. Johns Wood Road, St John's Wood, NW8","£690,000",2 bed,1 bath,653 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-ideally-located-contemporary-apartment-lob281446,sale
A stylish apartment benefiting from concierge and leisure facilities.,"Lancelot Place, Knightsbridge, SW7","£5,750,000",2 bed,2 bath,"1,970 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-stylish-apartment-benefiting-from-concierge-and-leisure-facilities-lob334196,sale
"Open-plan apartment with security, concierge, and parking.","Montrose Place, Belgravia, SW1X","£7,000,000",3 bed,3 bath,"3,137 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/open-plan-apartment-with-security-concierge-and-parking-lob334166,sale
Belgravia townhouse arranged across six floors with private terraces.,"Eaton Place, Belgravia, SW1X","£19,500,000",9 bed,8 bath,"6,250 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/an-elegant-nine-bedroom-family-home-boasting-original-period-features-set-within-the-heart-of-belgravia-lob330677,sale
"Located on the garden level, this bright open-plan apartment is ideally located a walk away from Holland Park.","Addison Road, Holland Park, W14","£1,800,000",3 bed,2 bath,"1,757 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/open-plan-apartment-located-a-walk-away-from-holland-park-lob330450,sale
A contemporary apartment in a boutique new development.,"The Pembridge, Notting Hill, W2","£1,005,000",1 bed,1 bath,538 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-contemporary-apartment-in-a-boutique-new-development-lob281654,sale
A contemporary apartment in the centre of Notting Hill.,"The Pembridge, Notting Hill, W2","£1,650,000",2 bed,2 bath,990 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-contemporary-apartment-in-the-centre-of-notting-hill-lob281346,sale
Apartment with bespoke finishes in Notting Hill.,"The Pembridge, Notting Hill, W2","£3,500,000",3 bed,3 bath,"1,530 sqft",https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/apartment-with-bespoke-finishes-in-notting-hill-lob281379,sale
A contemporary apartment with bespoke finishes.,"The Pembridge, Notting Hill, W2","£790,000",1 bed,1 bath,431 sqft,https://www.beauchampestates.com/london/luxury-properties-for-sale-in-london/a-contemporary-apartment-with-bespoke-finishes-lob281324,sale
